Unnamed Column,address_1,case_number,city,clearance_type,country,created_at,day_of_week,hour_of_day,incident_datetime,incident_description,incident_id,incident_type_primary,latitude,location,longitude,parent_incident_type,state,updated_at,zip
841,100 Block CENTER ST,15JC1456,LEVAN,,,10/14/2015 05:53:29 AM,Sunday,10,10/11/2015 10:10:42 AM,Description: Citizen Assist,734058900,CITIZEN ASSIST,39.5574,"{'type': 'Point', 'coordinates': [-111.862, 39.5574]}",-111.862,Community Policing,UT,10/23/2015 08:05:39 AM,
842,1 Block MAIN ST,15JC1427,EUREKA,,,10/14/2015 05:53:29 AM,Wednesday,11,10/07/2015 11:10:27 AM,Description: Traffic Accident-Non Reportabl,734058904,TRAFFIC ACCIDENT-NON REPORTABL,39.9554,"{'type': 'Point', 'coordinates': [-112.115, 39.9554]}",-112.115,Traffic,UT,10/20/2015 08:00:43 AM,
843,200 Block MAIN ST,15JC1431,EUREKA,,,10/16/2015 05:53:11 AM,Thursday,8,10/08/2015 08:10:55 AM,Description: Citizen Assist,734215221,CITIZEN ASSIST,39.9547,"{'type': 'Point', 'coordinates': [-112.119, 39.9547]}",-112.119,Community Policing,UT,10/20/2015 08:00:44 AM,
844,136900 Block US6,15JC1441,JUAB CO EUR GR,,,10/16/2015 05:53:11 AM,Friday,17,10/09/2015 05:10:59 PM,Description: Citizen Assist,734215222,CITIZEN ASSIST,39.9237,"{'type': 'Point', 'coordinates': [-112.146, 39.9237]}",-112.146,Community Policing,UT,10/20/2015 08:00:45 AM,
845,BURRASTON PONDS,15JC1461,JUAB CO MON GR,,,10/14/2015 05:53:29 AM,Sunday,19,10/11/2015 07:10:51 PM,Description: Citizen Dispute,734058905,CITIZEN DISPUTE,39.7936,"{'type': 'Point', 'coordinates': [-111.86, 39.7936]}",-111.86,Community Policing,UT,10/23/2015 08:05:40 AM,
846,1 Block S 200 WEST ST,15JC1462,LEVAN,,,10/16/2015 05:53:11 AM,Monday,14,10/12/2015 02:10:47 PM,Description: Animal Problem,734215223,ANIMAL PROBLEM,39.5563,"{'type': 'Point', 'coordinates': [-111.868, 39.5563]}",-111.868,Community Policing,UT,10/23/2015 08:05:40 AM,
847,300 Block PLATT LN,15JC1470,MONA,,,10/16/2015 05:53:11 AM,Tuesday,12,10/13/2015 12:10:00 PM,Description: Citizen Assist,734215229,CITIZEN ASSIST,39.814,"{'type': 'Point', 'coordinates': [-111.848, 39.814]}",-111.848,Community Policing,UT,10/23/2015 08:05:42 AM,
848,300 Block W 200 NORTH ST,15JC1473,MONA,,,10/17/2015 05:53:04 AM,Wednesday,15,10/14/2015 03:10:53 PM,Description: Citizen Dispute,734295322,CITIZEN DISPUTE,39.8191,"{'type': 'Point', 'coordinates': [-111.861, 39.8191]}",-111.861,Community Policing,UT,10/27/2015 08:00:15 AM,
849,200 Block MAIN ST,15JC1480,EUREKA,,,10/19/2015 05:52:56 AM,Thursday,8,10/15/2015 08:10:29 AM,Description: Citizen Assist,734481112,CITIZEN ASSIST,39.9547,"{'type': 'Point', 'coordinates': [-112.119, 39.9547]}",-112.119,Community Policing,UT,10/28/2015 08:00:15 AM,
850,1 Block ARLINGTON AVE,15JC1481,EUREKA,,,10/19/2015 05:52:56 AM,Thursday,10,10/15/2015 10:10:11 AM,Description: Traffic Accident-Non Reportabl,734481113,TRAFFIC ACCIDENT-NON REPORTABL,39.9583,"{'type': 'Point', 'coordinates': [-112.115, 39.9583]}",-112.115,Traffic,UT,10/28/2015 08:00:15 AM,
851,200 Block E 100 NORTH ST,15JC1482,MONA,,,10/19/2015 05:52:56 AM,Thursday,10,10/15/2015 10:10:57 AM,Description: Citizen Assist,734481114,CITIZEN ASSIST,39.8177,"{'type': 'Point', 'coordinates': [-111.85, 39.8177]}",-111.85,Community Policing,UT,10/28/2015 08:00:15 AM,
852,BURRASTON,15JC1487,JUAB CO MON GR,,,10/19/2015 05:52:56 AM,Friday,9,10/16/2015 09:10:55 AM,Description: Citizen Assist,734481116,CITIZEN ASSIST,39.7936,"{'type': 'Point', 'coordinates': [-111.86, 39.7936]}",-111.86,Community Policing,UT,10/29/2015 08:00:49 AM,
853,219000 Block I15 NB,15JC1494,JUAB CO NEP GR,,,10/19/2015 05:52:56 AM,Friday,23,10/16/2015 11:10:29 PM,Description: Traffic Offense,734481115,TRAFFIC OFFENSE,39.6489,"{'type': 'Point', 'coordinates': [-111.895, 39.6489]}",-111.895,Traffic,UT,10/29/2015 08:00:49 AM,
854,100 Block W 100 NORTH ST,15JC1512,MONA,,,10/27/2015 05:51:28 AM,Wednesday,1,10/21/2015 01:10:01 AM,Description: Criminal Mischief,735231526,CRIMINAL MISCHIEF,39.8176,"{'type': 'Point', 'coordinates': [-111.859, 39.8176]}",-111.859,Other,UT,11/03/2015 09:00:15 AM,
855,36000 Block SR28,15JC1517,JUAB CO NEP GR,,,10/27/2015 05:51:28 AM,Thursday,9,10/22/2015 09:10:48 AM,Description: Citizen Assist,735231524,CITIZEN ASSIST,39.6458,"{'type': 'Point', 'coordinates': [-111.861, 39.6458]}",-111.861,Community Policing,UT,11/04/2015 09:00:15 AM,
856,37900 Block MAIN ST,15JC1522,NEPHI,,,10/27/2015 05:51:28 AM,Friday,7,10/23/2015 07:10:53 AM,Description: Animal Problem,735231520,ANIMAL PROBLEM,39.6718,"{'type': 'Point', 'coordinates': [-111.846, 39.6718]}",-111.846,Community Policing,UT,11/05/2015 09:03:24 AM,
857,127900 Block US6,15JC1527,JUAB CO EUR GR,,,10/28/2015 05:51:19 AM,Friday,20,10/23/2015 08:10:56 PM,Description: Criminal Mischief,735326967,CRIMINAL MISCHIEF,39.7947,"{'type': 'Point', 'coordinates': [-112.148, 39.7947]}",-112.148,Other,UT,11/05/2015 09:03:26 AM,
858,223900 Block I15 NB,15JC1541,JUAB CO NEP GR,,,10/28/2015 05:51:19 AM,Sunday,23,10/25/2015 11:10:55 PM,Description: Citizen Assist,735326972,CITIZEN ASSIST,39.6947,"{'type': 'Point', 'coordinates': [-111.827, 39.6947]}",-111.827,Community Policing,UT,11/07/2015 09:00:06 AM,
859,1 Block E 300 NORTH ST,15JC1557,LEVAN,,,10/31/2015 05:50:56 AM,Wednesday,15,10/28/2015 03:10:08 PM,Description: Criminal Mischief,735558464,CRIMINAL MISCHIEF,39.5618,"{'type': 'Point', 'coordinates': [-111.862, 39.5618]}",-111.862,Other,UT,11/10/2015 09:00:18 AM,
860,1 Block N 100 WEST ST,15JC1562,MONA,,,11/01/2015 06:50:44 AM,Thursday,18,10/29/2015 06:10:06 PM,Description: Citizen Assist,735629546,CITIZEN ASSIST,39.8171,"{'type': 'Point', 'coordinates': [-111.857, 39.8171]}",-111.857,Community Policing,UT,11/11/2015 09:00:16 AM,
861,400 Block E 100 SOUTH ST,15JC1578,LEVAN,,,11/04/2015 06:50:15 AM,Sunday,18,11/01/2015 06:11:38 PM,Description: Citizen Assist,735899882,CITIZEN ASSIST,39.556,"{'type': 'Point', 'coordinates': [-111.854, 39.556]}",-111.854,Community Policing,UT,11/14/2015 09:01:28 AM,
862,200 Block MAIN ST,15JC1581,NEPHI,,,11/05/2015 06:50:10 AM,Monday,21,11/02/2015 09:11:50 PM,Description: Traffic Offense,735980172,TRAFFIC OFFENSE,39.7115,"{'type': 'Point', 'coordinates': [-111.836, 39.7115]}",-111.836,Traffic,UT,11/15/2015 09:00:13 AM,
863,SILVER CITY,15JC1594,JUAB CO EUR GR,,,11/07/2015 06:49:40 AM,Wednesday,15,11/04/2015 03:11:14 PM,Description: Citizen Assist,736369584,CITIZEN ASSIST,39.8975,"{'type': 'Point', 'coordinates': [-112.135, 39.8975]}",-112.135,Community Policing,UT,11/17/2015 09:00:16 AM,
864,GOSHEN RD,15JC1592,JUAB CO MON GR,,,11/08/2015 06:49:39 AM,Thursday,15,11/05/2015 03:11:30 PM,Description: Citizen Assist,736435291,CITIZEN ASSIST,39.8619,"{'type': 'Point', 'coordinates': [-111.888, 39.8619]}",-111.888,Community Policing,UT,11/18/2015 09:00:19 AM,
