Unnamed Column,address_1,case_number,city,clearance_type,country,created_at,day_of_week,hour_of_day,incident_datetime,incident_description,incident_id,incident_type_primary,latitude,location,longitude,parent_incident_type,state,updated_at,zip
2351,2300 Block MONITOR DR,18-03770,PARK CITY,,,03/07/2018 07:32:56 AM,Wednesday,0,03/07/2018 12:03:38 AM,Traffic Stop,836450972,TRAFFIC STOP,40.6668,"{'type': 'Point', 'coordinates': [-111.5, 40.6668]}",-111.5,Vehicle Stop,UT,05/10/2018 04:16:25 PM,
2352,1 Block SR224,18-03773,PARK CITY,,,03/07/2018 09:46:46 AM,Wednesday,1,03/07/2018 01:03:43 AM,Traffic Stop,836458524,TRAFFIC STOP,40.6711,"{'type': 'Point', 'coordinates': [-111.53, 40.6711]}",-111.53,Vehicle Stop,UT,05/10/2018 04:16:25 PM,
2353,SIDEWINDER DR & WYATT EARP WAY,18-03778,PARK CITY,,,03/07/2018 02:54:37 PM,Wednesday,7,03/07/2018 07:03:26 AM,Traffic Stop,836476166,TRAFFIC STOP,40.6671,"{'type': 'Point', 'coordinates': [-111.485, 40.6671]}",-111.485,Vehicle Stop,UT,05/10/2018 04:16:25 PM,
2354,SIDEWINDER DR & WYATT EARP WAY,18-03786,PARK CITY,,,03/07/2018 04:22:23 PM,Wednesday,8,03/07/2018 08:03:33 AM,Traffic Stop,836480838,TRAFFIC STOP,40.6671,"{'type': 'Point', 'coordinates': [-111.485, 40.6671]}",-111.485,Vehicle Stop,UT,05/10/2018 04:16:25 PM,
2355,SIDEWINDER DR & WYATT EARP WAY,18-03781,PARK CITY,,,03/07/2018 03:30:02 PM,Wednesday,8,03/07/2018 08:03:40 AM,Traffic Stop,836478625,TRAFFIC STOP,40.6671,"{'type': 'Point', 'coordinates': [-111.485, 40.6671]}",-111.485,Vehicle Stop,UT,05/10/2018 04:16:25 PM,
2356,SIDEWINDER DR & WYATT EARP WAY,18-03787,PARK CITY,,,03/07/2018 04:22:23 PM,Wednesday,8,03/07/2018 08:03:57 AM,Traffic Stop,836480839,TRAFFIC STOP,40.6671,"{'type': 'Point', 'coordinates': [-111.485, 40.6671]}",-111.485,Vehicle Stop,UT,05/10/2018 04:16:25 PM,
2357,1500 Block SNOW CREEK DR,17-03709,PARK CITY,,,02/08/2017 10:30:52 AM,Tuesday,15,02/07/2017 03:02:00 PM,Alcohol Offense,792537719,ALCOHOL OFFENSE,40.6624,"{'type': 'Point', 'coordinates': [-111.509, 40.6624]}",-111.509,Liquor,UT,02/14/2017 10:32:29 AM,
2358,400 Block SWEDE ALY,16-05963,PARK CITY,,,03/28/2016 07:09:48 AM,Sunday,20,03/27/2016 08:03:33 PM,Vehicle Burg,754190484,VEHICLE BURG,40.6436,"{'type': 'Point', 'coordinates': [-111.495, 40.6436]}",-111.495,Theft from Vehicle,UT,04/14/2016 09:30:53 AM,
2359,KEARNS BLVD & WYATT EARP WAY,16-18379,PARK CITY,,,10/23/2016 07:33:27 AM,Saturday,13,10/22/2016 01:10:32 PM,Traffic Stop,778060768,TRAFFIC STOP,40.6684,"{'type': 'Point', 'coordinates': [-111.486, 40.6684]}",-111.486,Vehicle Stop,UT,10/29/2016 09:31:07 AM,
2360,EAGLE VIEW CT,A09-04622,PARK CITY,,,01/24/2012 09:57:18 AM,Thursday,3,03/05/2009 03:03:00 AM,Assault,95598929,ASSAULT,40.6807129,"{'type': 'Point', 'coordinates': [-111.5073396, 40.6807129]}",-111.5073396,Assault,UT,11/19/2017 10:45:54 AM,84060
