Unnamed Column,address_1,case_number,city,clearance_type,country,created_at,day_of_week,hour_of_day,incident_datetime,incident_description,incident_id,incident_type_primary,latitude,location,longitude,parent_incident_type,state,updated_at,zip
3204,1 Block S MAIN,14090072,EPHRAIM,,null,09/03/2014 01:03:19 PM,Tuesday,22,09/02/2014 10:07:00 PM,MISCELLANEOUS / INFORMATION ONLY<br>CLEARED,542162655,MISCELLANEOUS,39.3594381,"{'type': 'Point', 'coordinates': [-111.586785, 39.359438]}",-111.5867847,Other,UT,09/21/2014 01:02:59 PM,84627
3205,1 Block N 200 WEST,14080962,EPHRAIM,,,08/31/2014 01:03:18 PM,Saturday,13,08/30/2014 01:17:00 PM,"OTHER ORDINANCE VIOLATION / ORDINANCE VIOLATION, OTHER<br>INACTIVE",539471126,OTHER ORDINANCE VIOLATION,39.3598741,"{'type': 'Point', 'coordinates': [-111.5918079, 39.3598741]}",-111.5918079,Other,UT,02/25/2015 02:04:36 PM,84627
3206,1 Block S MAIN ST,14080963,EPHRAIM,,,08/31/2014 01:03:18 PM,Saturday,14,08/30/2014 02:04:00 PM,"ACCIDENT - PROP DAMG / TRAFFIC ACCIDENT, PROPERTY DAMAGE<br>CLEARED",539471125,ACCIDENT - PROP DAMG,39.3588598,"{'type': 'Point', 'coordinates': [-111.5871471, 39.3588598]}",-111.5871471,Emergency,UT,02/25/2015 02:04:36 PM,84627
3207,1 Block N 180 WEST,14090105,EPHRAIM,,,09/04/2014 01:03:15 PM,Wednesday,15,09/03/2014 03:18:00 PM,RUNAWAY JUVENILE / RUNAWAY JUVENILE<br>CLEARED,543300297,RUNAWAY JUVENILE,39.3440629,"{'type': 'Point', 'coordinates': [-111.5769574, 39.3440629]}",-111.5769574,Missing Person,UT,03/01/2015 02:04:35 PM,84627
3208,100 Block N MAIN,14090107,EPHRAIM,,,09/04/2014 01:03:15 PM,Wednesday,16,09/03/2014 04:24:00 PM,MISCELLANEOUS / INFORMATION ONLY<br>CLEARED,543300296,MISCELLANEOUS,39.3618452,"{'type': 'Point', 'coordinates': [-111.58713, 39.3618452]}",-111.58713,Other,UT,03/01/2015 02:04:35 PM,84627
3209,300 Block E 100 SOUTH,14090125,EPHRAIM,,,09/04/2014 01:03:15 PM,Wednesday,22,09/03/2014 10:43:00 PM,"OTHER SEX OFFENSE / SEX OFFENSE, OTHER<br>INACTIVE",543300295,OTHER SEX OFFENSE,39.3579723,"{'type': 'Point', 'coordinates': [-111.5792108, 39.3579723]}",-111.5792108,Other Sexual Offense,UT,03/01/2015 02:04:35 PM,84627
3210,400 Block S 300 EAST,14090126,EPHRAIM,,,09/04/2014 01:03:15 PM,Wednesday,23,09/03/2014 11:29:00 PM,SUSPICIOUS ACTIVITY / SUSPICIOUS ACTIVITY<br>CLEARED,543300294,SUSPICIOUS ACTIVITY,39.3516364,"{'type': 'Point', 'coordinates': [-111.5794443, 39.3516364]}",-111.5794443,Community Policing,UT,03/01/2015 02:04:35 PM,84627
3211,600 Block S 10 EAST,14090132,EPHRAIM,,,09/04/2014 01:03:15 PM,Thursday,4,09/04/2014 04:30:00 AM,SUSPICIOUS PERSON / SUSPICIOUS PERSON<br>CLEARED JUVENILE ARREST,543300293,SUSPICIOUS PERSON,39.3473677,"{'type': 'Point', 'coordinates': [-111.5868269, 39.3473677]}",-111.5868269,Pedestrian Stop,UT,03/02/2015 02:04:30 PM,84627
3212,300 Block E CENTER ST,14090147,EPHRAIM,,,09/05/2014 01:03:14 PM,Thursday,10,09/04/2014 10:14:00 AM,"DAMAGED PROPERTY / DAMAGED PROPERTY, PRIVATE<br>CLEARED",545363218,DAMAGED PROPERTY,39.3597485,"{'type': 'Point', 'coordinates': [-111.5795016, 39.3597485]}",-111.5795016,Property Crime,UT,03/02/2015 02:04:30 PM,84627
3213,1 Block N 400 E,14090149,EPHRAIM,,,09/05/2014 01:03:14 PM,Thursday,10,09/04/2014 10:31:00 AM,"DAMAGED PROPERTY / DAMAGED PROPERTY, PRIVATE<br>CLEARED",545363217,DAMAGED PROPERTY,39.360313,"{'type': 'Point', 'coordinates': [-111.577135, 39.360313]}",-111.577135,Property Crime,UT,03/02/2015 02:04:30 PM,84627
3214,200 Block N 100 EAST,14090249,EPHRAIM,,,09/07/2014 01:03:10 PM,Saturday,10,09/06/2014 10:50:00 AM,MISCELLANEOUS / INFORMATION ONLY<br>CLEARED,546952612,MISCELLANEOUS,39.3651948,"{'type': 'Point', 'coordinates': [-111.5841576, 39.3651948]}",-111.5841576,Other,UT,03/04/2015 04:22:16 PM,84627
3215,FOOTBALL FIELD,14090254,EPHRAIM,,,09/07/2014 01:03:10 PM,Saturday,11,09/06/2014 11:49:00 AM,MISCELLANEOUS / EVENT SAFETY & SECURITY<br>CLEARED,546952610,MISCELLANEOUS,39.3596841,"{'type': 'Point', 'coordinates': [-111.5863052, 39.3596841]}",-111.5863052,Other,UT,03/04/2015 04:22:16 PM,84627
3216,1 Block W 700 SOUTH,14090255,EPHRAIM,,,09/07/2014 01:03:10 PM,Saturday,11,09/06/2014 11:55:00 AM,BURGLAR ALARM / BURGLAR ALARM<br>CLEARED,546952609,BURGLAR ALARM,39.347139,"{'type': 'Point', 'coordinates': [-111.5857128, 39.347139]}",-111.5857128,Alarm,UT,03/04/2015 04:22:16 PM,84627
3217,300 Block S 430 E,14090273,EPHRAIM,,,09/07/2014 01:03:10 PM,Saturday,17,09/06/2014 05:23:00 PM,"BURGLARY / BURGLARY, UNFORCED ENTRY RESIDENCE<br>CLEARED ADULT ARREST",546952608,BURGLARY,39.3544496,"{'type': 'Point', 'coordinates': [-111.5764015, 39.3544496]}",-111.5764015,Breaking & Entering,UT,03/04/2015 04:22:16 PM,84627
3218,400 Block N MAIN,14090301,EPHRAIM,,,09/08/2014 01:03:11 PM,Sunday,11,09/07/2014 11:35:00 AM,SUSPICIOUS ACTIVITY / SUSPICIOUS ACTIVITY<br>INACTIVE,547649836,SUSPICIOUS ACTIVITY,39.3669729,"{'type': 'Point', 'coordinates': [-111.5870401, 39.3669729]}",-111.5870401,Community Policing,UT,03/05/2015 02:03:50 PM,84627
3219,700 Block N MAIN ST,14090312,EPHRAIM,,,09/08/2014 01:03:11 PM,Sunday,17,09/07/2014 05:56:00 PM,ABANDON VEHICLE / ABANDON VEHICLE<br>CLEARED,547649834,ABANDON VEHICLE,39.3742333,"{'type': 'Point', 'coordinates': [-111.5876864, 39.3742333]}",-111.5876864,Traffic,UT,03/05/2015 02:03:50 PM,84627
3220,100 Block E 100 S,14090408,EPHRAIM,,,09/11/2014 01:03:11 PM,Wednesday,9,09/10/2014 09:09:00 AM,CRIMINAL MISCHIEF / CRIMINAL MISCHIEF<br>CLEARED ADULT ARREST,550672732,CRIMINAL MISCHIEF,39.3580128,"{'type': 'Point', 'coordinates': [-111.5830318, 39.3580128]}",-111.5830318,Property Crime,UT,03/08/2015 01:03:27 PM,84627
3221,100 Block E 100 S,14090416,EPHRAIM,,,09/11/2014 01:03:11 PM,Wednesday,12,09/10/2014 12:54:00 PM,"OTHER SEX OFFENSE / SEX OFFENSE, OTHER<br>PENDING PROSECUTION",550672731,OTHER SEX OFFENSE,39.3580128,"{'type': 'Point', 'coordinates': [-111.5830318, 39.3580128]}",-111.5830318,Other Sexual Offense,UT,03/08/2015 01:03:28 PM,84627
3222,600 Block S 60 EAST,14090454,EPHRAIM,,,09/12/2014 01:03:07 PM,Thursday,15,09/11/2014 03:27:00 PM,CONTROLLED SUBSTANCE / OTHER CONTROLLED SUBSTANCES<br>CLEARED JUVENILE ARREST,551849841,CONTROLLED SUBSTANCE,39.3482349,"{'type': 'Point', 'coordinates': [-111.5852511, 39.3482349]}",-111.5852511,Drugs,UT,03/09/2015 01:11:18 PM,84627
3223,1 Block E 300 S,14090461,EPHRAIM,,,09/12/2014 01:03:07 PM,Thursday,18,09/11/2014 06:15:00 PM,SUSPICIOUS ACTIVITY / SUSPICIOUS ACTIVITY<br>CLEARED,551849840,SUSPICIOUS ACTIVITY,39.3544312,"{'type': 'Point', 'coordinates': [-111.5854491, 39.3544312]}",-111.5854491,Community Policing,UT,03/09/2015 01:11:18 PM,84627
3224,1 Block N MAIN,14090470,EPHRAIM,,,09/12/2014 01:03:07 PM,Thursday,20,09/11/2014 08:05:00 PM,OTHER CRIMES AGAINST PERSON / CHILD ABUSE<br>CLEARED ADULT ARREST,551849839,OTHER CRIMES AGAINST PERSON,39.3607111,"{'type': 'Point', 'coordinates': [-111.5871052, 39.3607111]}",-111.5871052,Other,UT,03/09/2015 01:11:18 PM,84627
3225,TRAVEL INN,14090471,EPHRAIM,,,09/12/2014 01:03:07 PM,Thursday,20,09/11/2014 08:22:00 PM,SUSPICIOUS ACTIVITY / SUSPICIOUS ACTIVITY<br>CLEARED,551849838,SUSPICIOUS ACTIVITY,39.3596841,"{'type': 'Point', 'coordinates': [-111.5863052, 39.3596841]}",-111.5863052,Community Policing,UT,03/09/2015 01:11:18 PM,84627
3226,400 Block E 100 S,14090485,EPHRAIM,,,09/12/2014 01:03:07 PM,Friday,3,09/12/2014 03:45:00 AM,SUSPICIOUS ACTIVITY / SUSPICIOUS ACTIVITY<br>CLEARED,551849837,SUSPICIOUS ACTIVITY,39.3579707,"{'type': 'Point', 'coordinates': [-111.5772102, 39.3579707]}",-111.5772102,Community Policing,UT,03/10/2015 01:08:00 PM,84627
3227,ACTIVITY CENTER,14090495,EPHRAIM,,,09/13/2014 01:03:10 PM,Friday,10,09/12/2014 10:46:00 AM,"THEFT / THEFT, OTHER<br>INACTIVE",552784588,THEFT,39.3593871,"{'type': 'Point', 'coordinates': [-111.5783715, 39.3593871]}",-111.5783715,Theft,UT,03/10/2015 01:08:00 PM,84627
3228,700 Block N MAIN,14090579,EPHRAIM,,,09/15/2014 01:03:00 PM,Sunday,17,09/14/2014 05:23:00 PM,THEFT / SHOPLIFTING<br>CLEARED ADULT ARREST,554297013,THEFT,39.3737212,"{'type': 'Point', 'coordinates': [-111.5895741, 39.3737212]}",-111.5895741,Theft,UT,03/12/2015 01:02:42 PM,84627
3229,KANE VALLEY,14090586,EPHRAIM,,,09/15/2014 01:03:00 PM,Sunday,20,09/14/2014 08:56:00 PM,ASSIST OTHER AGENCY / ASSIST OTHER LAW ENFORCEMENT AGENCY<br>CLEARED,554297012,ASSIST OTHER AGENCY,39.3604836,"{'type': 'Point', 'coordinates': [-111.564749, 39.3604836]}",-111.564749,Community Policing,UT,03/12/2015 01:02:42 PM,84627
3230,1 Block E 390 N,14090618,EPHRAIM,,,09/16/2014 01:03:09 PM,Monday,16,09/15/2014 04:40:00 PM,THEFT / <br>ACTIVE,555225263,THEFT,40.5590214,"{'type': 'Point', 'coordinates': [-111.9704471, 40.5590214]}",-111.9704471,Theft,UT,03/14/2015 01:11:49 PM,84095
3231,N OF EPHRAIM,14090625,SANPETE COUNTY,,,09/16/2014 01:03:09 PM,Monday,19,09/15/2014 07:59:00 PM,SUSPICIOUS ACTIVITY / SUSPICIOUS ACTIVITY<br>CLEARED,555225262,SUSPICIOUS ACTIVITY,39.3596841,"{'type': 'Point', 'coordinates': [-111.5863052, 39.3596841]}",-111.5863052,Community Policing,UT,03/13/2015 01:06:49 PM,84627
3232,100 Block E COLLEGE AVE,14090633,EPHRAIM,,,09/17/2014 01:03:05 PM,Tuesday,11,09/16/2014 11:33:00 AM,"THEFT / LARCENY, BICYCLE<br>CLEARED",556479907,THEFT,39.36107,"{'type': 'Point', 'coordinates': [-111.5837772, 39.36107]}",-111.5837772,Theft,UT,03/14/2015 01:11:49 PM,84627
3233,100 Block E CENTER,14090649,EPHRAIM,,,09/17/2014 01:03:05 PM,Tuesday,17,09/16/2014 05:16:00 PM,"THEFT / LARCENY, FROM BUILDING<br>INACTIVE",556479903,THEFT,39.3597828,"{'type': 'Point', 'coordinates': [-111.5832312, 39.3597828]}",-111.5832312,Theft,UT,03/14/2015 01:11:49 PM,84627
3234,1 Block E 430 NORTH,14090651,EPHRAIM,,,09/18/2014 01:03:07 PM,Tuesday,17,09/16/2014 05:24:00 PM,"THEFT / LARCENY, BICYCLE<br>CLEARED JUVENILE ARREST",557413201,THEFT,39.3679065,"{'type': 'Point', 'coordinates': [-111.587055, 39.3679065]}",-111.587055,Theft,UT,03/14/2015 01:11:49 PM,84627
3235,1 Block N 400 E,14090660,EPHRAIM,,,09/17/2014 01:03:05 PM,Tuesday,21,09/16/2014 09:34:00 PM,"TRESPASSING / TRESPASSING, PRIVATE PROPERTY<br>CLEARED",556479901,TRESPASSING,39.360313,"{'type': 'Point', 'coordinates': [-111.577135, 39.360313]}",-111.577135,Property Crime,UT,03/14/2015 01:11:49 PM,84627
