column 1,address_1,case_number,city,clearance_type,created_at,day_of_week,hour_of_day,incident_datetime,incident_description,incident_id,incident_type_primary,latitude,location,longitude,parent_incident_type,state,updated_at,zip
316,2400 Block S 1050 W,15-P00134,PERRY,,02/12/2015 05:11:58 PM,Monday,17,02/09/2015 05:09:46 PM,Fraud,691319628,fraud,41.4664939,"{'type': 'Point', 'coordinates': [-112.0392201, 41.4664939]}",-112.0392201,Theft,UT,04/10/2015 12:33:38 PM,84302
317,3000 Block S 1250 W,15-P00148,PERRY,,03/13/2015 07:50:29 PM,Thursday,18,02/12/2015 06:46:20 PM,DUI,709376873,DUI,41.455023,"{'type': 'Point', 'coordinates': [-112.04545, 41.455023]}",-112.04545,Traffic,UT,04/13/2015 12:32:02 PM,84302
318,1400 Block S US 89,15-P00149,PERRY,,03/13/2015 07:50:29 PM,Friday,1,02/13/2015 01:56:47 AM,DUI,709376874,DUI,41.4838948,"{'type': 'Point', 'coordinates': [-112.0176246, 41.4838948]}",-112.0176246,Traffic,UT,04/14/2015 12:32:07 PM,84302
319,1500 Block S PERRY ST,15-P00150,PERRY,,03/13/2015 07:50:29 PM,Friday,8,02/13/2015 08:22:23 AM,Property Damage,709376875,Property Damage,41.4673852,"{'type': 'Point', 'coordinates': [-112.0415182, 41.4673852]}",-112.0415182,Property Crime,UT,04/14/2015 12:32:07 PM,84302
320,400 Block W 2000 S,15-P00174,PERRY,,03/13/2015 07:50:29 PM,Wednesday,10,02/18/2015 10:42:33 AM,Fraud,709376897,fraud,41.472817,"{'type': 'Point', 'coordinates': [-112.025648, 41.472817]}",-112.025648,Theft,UT,04/19/2015 12:32:08 PM,84302
321,100 Block E CHATEAU DR,15-P00177,PERRY,,03/13/2015 07:50:29 PM,Wednesday,16,02/18/2015 04:39:15 PM,Fraud,709376900,fraud,41.483432,"{'type': 'Point', 'coordinates': [-112.013087, 41.483432]}",-112.013087,Theft,UT,04/19/2015 12:32:09 PM,84302
322,900 Block W 3600 S,15-P00196,PERRY,,03/13/2015 07:50:29 PM,Monday,7,02/23/2015 07:39:41 AM,Harassment,709376914,Harassment,41.4449309,"{'type': 'Point', 'coordinates': [-112.038463, 41.4449309]}",-112.038463,Assault,UT,04/24/2015 12:32:20 PM,84302
323,2300 Block S ORCHARD HILLS DR,15-P00197,PERRY,,03/13/2015 07:50:29 PM,Tuesday,16,02/24/2015 04:22:40 PM,Theft,709376915,Theft,41.4649365,"{'type': 'Point', 'coordinates': [-112.0324456, 41.4649365]}",-112.0324456,Theft,UT,04/25/2015 12:32:19 PM,
324,500 Block S 100 E,15-P00198,BRIGHAM CITY,,03/13/2015 07:50:29 PM,Tuesday,19,02/24/2015 07:42:45 PM,Family Fight,709376916,Family Fight,41.500017,"{'type': 'Point', 'coordinates': [-112.014849, 41.500017]}",-112.014849,Family Offense,UT,04/25/2015 12:32:20 PM,84302
325,2300 Block S US 89,16-P00916,PERRY,,07/30/2016 10:27:16 AM,Friday,18,07/29/2016 06:28:16 PM,Reckless Drivin,766460222,Reckless Drivin,41.4678485,"{'type': 'Point', 'coordinates': [-112.0311587, 41.4678485]}",-112.0311587,Traffic,UT,09/29/2016 02:16:10 PM,84302
